Marca,Modelo,Fallo,Solucion,Fecha
Samsung,S20,Conector de carga,Cambiar el conector de carga,2025-11-11 19:35:28
Samsung,A10,Pantalla rota,Reparar la pantalla,2025-11-11 20:13:52
Apple,iPhone 8,Batería,Cambio de bateria,2025-11-11 20:30:10
Samsung,S20,Pantalla rota,Reemplezar la pantalla,2025-12-08 23:29:28
Xiaomi,Redmi 9C,Pantalla rota,Reemplazar la bateria,2025-12-08 23:31:44
Apple,iPhone 8,Conector de carga,Reeplazar la placa de carga,2025-12-08 23:36:51
Apple,iPhone 8,Pantalla rota,Cambiar la pantalla,2025-12-08 23:38:29
Xiaomi,Redmi 12C,Pantalla rota,Reemplazar pantalla,2025-12-08 23:39:50
Apple,Iphone 7,Batería,Cambiar bateria,2025-12-08 23:41:17
Apple,Iphone 7,Conector de carga,Cambiar el conector de carga,2025-12-08 23:42:15
Samsung,A10,Pantalla rota,Cambiar pantalla,2025-12-01 10:15:00
Apple,iPhone 11,Batería,Reemplazar batería,2025-12-02 14:30:00
Xiaomi,Mi 10,No enciende,Revisar conexión de alimentación,2025-12-03 09:45:00
Motorola,Moto G8,Conector de carga,Soldar conector,2025-12-04 11:20:00
Samsung,S20,No enciende,Reiniciar y actualizar software,2025-12-05 16:50:00
Apple,iPhone X,Pantalla rota,Cambiar pantalla,2025-12-06 12:10:00
Xiaomi,Redmi Note 9,Batería,Reemplazar batería,2025-12-07 08:35:00
Motorola,Edge,Pantalla rota,Cambiar pantalla,2025-12-08 13:05:00
Sony,Xperia 5,Batería no carga,Revisión completa,2023-04-22 20:23:00
Huawei,Y7,No enciende,Cambio de batería,2024-02-26 08:34:00
Xiaomi,Redmi 10,No enciende,Limpieza de puerto,2023-10-19 16:00:00
Apple,iPhone 8,Cámara falla,Cambio de pantalla,2023-08-09 14:32:00
Xiaomi,Mi 10,No reconoce SIM,Reparación de placa,2024-10-01 14:32:00
Sony,Xperia 5,Batería no carga,Limpieza de puerto,2024-08-05 07:58:00
Samsung,A20,Batería no carga,Revisión completa,2024-09-24 12:51:00
Samsung,S20,No enciende,Cambio de flex,2024-02-13 12:36:00
Samsung,A30,Cámara falla,Reemplazo de módulo,2024-07-30 09:22:00
Motorola,Moto G9,Batería no carga,Cambio de pantalla,2024-01-09 05:38:00
Huawei,P30,No vibra,Soldadura puntual,2024-10-19 20:53:00
Samsung,S20,WiFi no funciona,Revisión completa,2023-03-05 07:31:00
Motorola,Moto E6,Cámara falla,Reparación de placa,2024-10-31 06:51:00
Sony,Xperia 1,Pantalla rota,Cambio de batería,2024-09-13 16:38:00
Huawei,P20,No reconoce SIM,Cambio de pantalla,2023-11-25 23:00:00
Motorola,Moto G30,Se reinicia solo,Cambio de pantalla,2024-11-21 06:58:00
Nokia,3.2,No vibra,Actualización de software,2024-07-08 05:16:00
Xiaomi,Mi 11,No reconoce SIM,Revisión completa,2023-06-02 19:04:00
Huawei,P30,Se calienta,Reparación de placa,2024-04-16 17:39:00
Huawei,P20,Batería no carga,Cambio de batería,2023-09-11 16:23:00
Apple,iPhone 13,Batería no carga,Soldadura puntual,2023-04-06 02:32:00
Samsung,A30,Pantalla rota,Actualización de software,2024-01-06 23:41:00
Huawei,P20,No vibra,Reparación de placa,2024-06-06 21:20:00
Samsung,A20,No enciende,Limpieza de puerto,2024-07-29 22:47:00
Apple,iPhone 11,Pantalla rota,Cambio de batería,2024-07-24 00:51:00
Xiaomi,Redmi 9,Cámara falla,Limpieza de puerto,2023-12-23 12:42:00
Apple,iPhone 14,Batería no carga,Actualización de software,2024-10-16 11:45:00
Huawei,P20,No vibra,Reemplazo de módulo,2024-11-04 22:48:00
Apple,iPhone 12,Se calienta,Soldadura puntual,2024-06-26 14:14:00
Sony,Xperia 5,Pantalla rota,Limpieza de puerto,2024-06-10 15:34:00
Nokia,3.2,Pantalla rota,Reparación de placa,2023-10-24 13:26:00
Apple,iPhone X,Pantalla rota,Cambio de pantalla,2023-04-09 12:43:00
Samsung,M12,Sonido bajo,Limpieza de puerto,2024-10-09 18:29:00
Oppo,A15,Se reinicia solo,Revisión completa,2023-11-24 21:42:00
Sony,Xperia 1,Pantalla rota,Cambio de batería,2023-09-13 20:57:00
Samsung,A30,Se reinicia solo,Revisión completa,2023-12-08 21:04:00
Apple,iPhone X,Pantalla rota,Revisión completa,2024-07-20 15:55:00
Oppo,A15,Batería no carga,Cambio de flex,2024-02-04 12:12:00
Sony,Xperia L3,No enciende,Reemplazo de módulo,2024-01-04 13:44:00
Nokia,3.2,Cámara falla,Reemplazo de módulo,2023-12-03 13:25:00
Huawei,P30,Pantalla rota,Cambio de pantalla,2024-08-29 07:40:00
Motorola,Moto G7,Se reinicia solo,Soldadura puntual,2024-02-05 21:42:00
Motorola,Moto G9,No reconoce SIM,Cambio de flex,2024-05-12 21:46:00
Xiaomi,Poco M4,WiFi no funciona,Actualización de software,2023-04-02 17:39:00
Samsung,M12,No vibra,Limpieza de puerto,2024-05-28 21:04:00
Oppo,Reno 6,Batería no carga,Cambio de pantalla,2023-08-05 07:02:00
Xiaomi,Poco M4,No vibra,Limpieza de puerto,2023-02-13 18:33:00
Huawei,P20,Pantalla rota,Reemplazo de módulo,2024-04-11 15:52:00
Xiaomi,Redmi 10,Se reinicia solo,Reparación de placa,2024-03-30 15:03:00
Apple,iPhone 8,No enciende,Revisión completa,2024-07-05 16:30:00
Sony,Xperia 5,Se reinicia solo,Cambio de flex,2023-12-05 10:11:00
Apple,iPhone 8,WiFi no funciona,Limpieza de puerto,2024-02-26 21:35:00
Xiaomi,Poco M4,No enciende,Revisión completa,2024-11-19 16:20:00
Motorola,Moto G30,No vibra,Actualización de software,2023-05-09 22:39:00
Xiaomi,Redmi 9,Cámara falla,Cambio de batería,2024-07-20 15:17:00
Sony,Xperia 10,No vibra,Cambio de batería,2024-10-17 14:14:00
Xiaomi,Poco X3,Sonido bajo,Limpieza de puerto,2024-09-28 13:17:00
Sony,Xperia L3,No reconoce SIM,Actualización de software,2024-04-14 01:48:00
Nokia,3.2,Sonido bajo,Reparación de placa,2023-03-31 14:59:00
Xiaomi,Redmi 10,No reconoce SIM,Cambio de batería,2024-06-05 21:33:00
Samsung,A20,Sonido bajo,Revisión completa,2023-03-27 14:47:00
Samsung,S20,Batería no carga,Reemplazo de módulo,2024-07-15 20:41:00
Huawei,P20,Se calienta,Cambio de batería,2024-07-22 16:00:00
Sony,Xperia L3,No enciende,Reparación de placa,2024-02-13 08:21:00
Apple,iPhone X,No enciende,Actualización de software,2024-01-09 06:42:00
Apple,iPhone 14,Batería no carga,Actualización de software,2023-01-14 06:21:00
Oppo,A54,No reconoce SIM,Cambio de batería,2024-05-09 15:22:00
Apple,iPhone X,WiFi no funciona,Cambio de flex,2023-04-21 02:03:00
Motorola,Moto E6,No enciende,Reemplazo de módulo,2023-02-05 17:03:00
Xiaomi,Poco M4,No enciende,Revisión completa,2023-10-30 12:36:00
Motorola,Moto G7,No vibra,Actualización de software,2023-09-25 10:37:00
Samsung,A10,Batería no carga,Cambio de pantalla,2024-10-04 12:19:00
Motorola,Moto G7,Batería no carga,Revisión completa,2023-07-03 12:22:00
Sony,Xperia 1,No vibra,Actualización de software,2024-06-14 23:54:00
Apple,iPhone 8,No vibra,Reparación de placa,2024-09-24 15:08:00
Motorola,Moto G30,WiFi no funciona,Actualización de software,2024-09-25 21:46:00
Sony,Xperia 10,Se calienta,Reemplazo de módulo,2023-01-22 14:47:00
Sony,Xperia 1,Se reinicia solo,Reparación de placa,2023-01-27 07:54:00
Apple,iPhone 11,Pantalla rota,Limpieza de puerto,2024-02-05 18:40:00
Apple,iPhone 12,No enciende,Reparación de placa,2023-06-23 18:21:00
Sony,Xperia 1,No reconoce SIM,Cambio de flex,2023-10-10 21:34:00
Nokia,6.1,Sonido bajo,Cambio de batería,2024-11-22 01:32:00
Apple,iPhone 12,No vibra,Limpieza de puerto,2024-06-21 05:49:00
Xiaomi,Poco M4,Se calienta,Actualización de software,2023-02-04 04:19:00
Nokia,3.2,Se reinicia solo,Revisión completa,2023-01-23 09:01:00
Samsung,M12,No reconoce SIM,Cambio de pantalla,2024-07-21 01:23:00
Apple,iPhone 12,Batería no carga,Soldadura puntual,2024-07-22 08:48:00
Sony,Xperia 10,No vibra,Cambio de pantalla,2023-07-25 09:10:00
Huawei,P30,Pantalla rota,Limpieza de puerto,2023-09-08 15:00:00
Sony,Xperia 1,No enciende,Revisión completa,2024-10-24 20:38:00
Nokia,6.1,Se reinicia solo,Soldadura puntual,2023-11-11 22:54:00
Sony,Xperia 1,No reconoce SIM,Actualización de software,2023-03-27 23:53:00
Xiaomi,Redmi 9,Pantalla rota,Cambio de batería,2024-10-25 10:46:00
Huawei,P40,No vibra,Limpieza de puerto,2024-03-11 17:32:00
Xiaomi,Redmi 10,No enciende,Limpieza de puerto,2023-03-21 01:05:00
Oppo,Reno 6,WiFi no funciona,Reparación de placa,2023-04-20 19:42:00
Xiaomi,Poco M4,Batería no carga,Soldadura puntual,2024-06-28 15:24:00
Sony,Xperia 1,No vibra,Cambio de flex,2024-07-06 04:20:00
Nokia,5.3,Se calienta,Limpieza de puerto,2023-01-22 07:47:00
Apple,iPhone 14,Cámara falla,Cambio de flex,2023-01-27 10:24:00
Sony,Xperia 10,No vibra,Limpieza de puerto,2023-03-21 21:37:00
Samsung,A10,Se reinicia solo,Cambio de flex,2023-02-27 11:38:00
Huawei,P20,No enciende,Cambio de flex,2024-03-17 22:33:00
Huawei,P30,Se reinicia solo,Cambio de pantalla,2023-07-13 23:43:00
Motorola,Moto G30,No enciende,Revisión completa,2024-05-14 13:11:00
Oppo,Reno 6,Sonido bajo,Limpieza de puerto,2023-11-29 13:53:00
Motorola,Moto G8,WiFi no funciona,Cambio de pantalla,2024-05-21 10:21:00
Oppo,Reno 6,WiFi no funciona,Cambio de flex,2023-01-21 01:14:00
Huawei,P20,Se reinicia solo,Cambio de pantalla,2023-08-09 23:31:00
Nokia,7.2,Cámara falla,Soldadura puntual,2023-04-11 23:05:00
Motorola,Moto G30,Se calienta,Actualización de software,2023-11-23 17:01:00
Oppo,Reno 5,No vibra,Limpieza de puerto,2023-08-19 20:30:00
Samsung,S22,Se calienta,Reemplazo de módulo,2023-07-02 04:22:00
Samsung,J7,Batería no carga,Reemplazo de módulo,2023-11-01 23:08:00
Nokia,6.1,Sonido bajo,Cambio de pantalla,2024-11-09 12:13:00
Samsung,M12,Sonido bajo,Revisión completa,2024-08-19 16:48:00
Samsung,A30,Sonido bajo,Reparación de placa,2023-02-26 21:32:00
Huawei,P30,Cámara falla,Soldadura puntual,2024-11-30 03:44:00
Motorola,Moto G30,Se reinicia solo,Reemplazo de módulo,2023-07-15 02:20:00
Huawei,Y9,Se reinicia solo,Reparación de placa,2024-08-31 13:51:00
Sony,Xperia 10,No reconoce SIM,Limpieza de puerto,2024-02-18 21:27:00
Apple,iPhone 14,Cámara falla,Cambio de flex,2023-04-01 19:33:00
Samsung,S22,No reconoce SIM,Soldadura puntual,2024-11-04 09:49:00
Nokia,7.2,Sonido bajo,Reemplazo de módulo,2024-04-21 23:57:00
Sony,Xperia 1,Cámara falla,Cambio de pantalla,2023-07-19 17:05:00
Apple,iPhone X,No reconoce SIM,Cambio de batería,2024-04-12 16:48:00
Sony,Xperia 5,No reconoce SIM,Reemplazo de módulo,2023-12-25 08:35:00
Xiaomi,Mi 10,Batería no carga,Cambio de pantalla,2023-03-11 09:09:00
Sony,Xperia L3,Se reinicia solo,Limpieza de puerto,2024-08-11 05:25:00
Sony,Xperia L3,Se reinicia solo,Revisión completa,2024-05-14 00:20:00
Oppo,A57,WiFi no funciona,Reparación de placa,2024-07-21 23:46:00
Oppo,Reno 5,No enciende,Revisión completa,2024-04-29 22:14:00
Motorola,Moto G30,Sonido bajo,Revisión completa,2023-09-22 07:44:00
Samsung,A30,WiFi no funciona,Reemplazo de módulo,2024-11-13 17:04:00
Samsung,J7,No enciende,Cambio de batería,2023-12-24 21:43:00
Sony,Xperia 1,Se reinicia solo,Actualización de software,2023-05-11 04:31:00
Xiaomi,Poco X3,Sonido bajo,Cambio de flex,2024-10-08 11:27:00
Motorola,Moto G7,Sonido bajo,Revisión completa,2024-06-26 06:56:00
Motorola,Moto G7,Sonido bajo,Limpieza de puerto,2024-01-01 18:15:00
Samsung,S21,Sonido bajo,Revisión completa,2023-04-26 08:33:00
Xiaomi,Redmi 10,No enciende,Soldadura puntual,2023-03-16 14:40:00
Apple,iPhone 12,Sonido bajo,Cambio de batería,2024-01-08 23:49:00
Apple,iPhone X,WiFi no funciona,Revisión completa,2024-01-03 10:35:00
Nokia,2.1,No reconoce SIM,Revisión completa,2023-05-31 09:33:00
Motorola,Moto G7,Sonido bajo,Revisión completa,2023-10-10 14:44:00
Oppo,A15,No reconoce SIM,Revisión completa,2023-04-24 00:22:00
Apple,iPhone 12,Se calienta,Cambio de flex,2023-12-18 18:00:00
Huawei,Y9,No vibra,Reparación de placa,2023-10-14 06:07:00
Oppo,Reno 5,Pantalla rota,Cambio de pantalla,2024-08-21 14:26:00
Huawei,P20,Se calienta,Limpieza de puerto,2023-09-27 15:14:00
Xiaomi,Redmi 9,WiFi no funciona,Reparación de placa,2024-03-18 12:56:00
Sony,Xperia L3,Batería no carga,Cambio de batería,2023-09-26 18:04:00
Sony,Xperia 5,Cámara falla,Limpieza de puerto,2024-06-18 10:42:00
Samsung,J7,Se reinicia solo,Cambio de batería,2024-06-14 13:09:00
Xiaomi,Mi 11,Se calienta,Limpieza de puerto,2023-04-28 00:45:00
Samsung,J7,Batería no carga,Revisión completa,2024-02-13 15:57:00
Nokia,3.2,No vibra,Reemplazo de módulo,2023-03-05 11:03:00
Xiaomi,Mi 11,Batería no carga,Reemplazo de módulo,2024-03-31 19:10:00
Xiaomi,Mi 11,Se reinicia solo,Reemplazo de módulo,2024-06-12 06:09:00
Samsung,A20,No vibra,Reemplazo de módulo,2024-10-17 01:04:00
Apple,iPhone X,No vibra,Reemplazo de módulo,2024-06-30 21:18:00
Xiaomi,Poco X3,No enciende,Soldadura puntual,2023-08-04 18:01:00
Huawei,P30,No enciende,Cambio de pantalla,2023-12-29 02:31:00
Sony,Xperia 1,Sonido bajo,Cambio de flex,2023-12-16 19:43:00
Xiaomi,Redmi 10,Batería no carga,Revisión completa,2023-10-02 23:11:00
Nokia,5.3,Batería no carga,Cambio de batería,2023-06-14 11:04:00
Motorola,Moto G7,No reconoce SIM,Limpieza de puerto,2023-02-14 19:08:00
Apple,iPhone 14,No vibra,Limpieza de puerto,2024-07-26 06:09:00
Xiaomi,Redmi 10,Se calienta,Reparación de placa,2023-11-24 16:09:00
Motorola,Moto G7,No vibra,Limpieza de puerto,2024-09-29 03:46:00
Apple,iPhone 12,WiFi no funciona,Cambio de batería,2023-03-02 06:06:00
Xiaomi,Poco M4,Se reinicia solo,Cambio de flex,2023-02-09 15:14:00
Oppo,A54,Se reinicia solo,Limpieza de puerto,2024-07-04 16:34:00
Xiaomi,Poco X3,No reconoce SIM,Cambio de batería,2023-03-13 11:39:00
Sony,Xperia 10,Pantalla rota,Cambio de flex,2023-12-05 23:20:00
Nokia,3.2,No reconoce SIM,Cambio de batería,2023-08-27 03:14:00
Huawei,P30,No reconoce SIM,Cambio de flex,2024-06-28 02:42:00
Sony,Xperia 1,Pantalla rota,Soldadura puntual,2024-08-19 21:35:00
Samsung,M12,WiFi no funciona,Actualización de software,2023-01-30 13:23:00
Apple,iPhone X,No reconoce SIM,Revisión completa,2023-05-15 09:48:00
Motorola,Moto G7,No vibra,Revisión completa,2024-11-28 08:41:00
Huawei,Y9,Batería no carga,Revisión completa,2024-09-06 21:51:00
Oppo,A15,Se calienta,Actualización de software,2024-11-22 02:31:00
Apple,iPhone 13,No reconoce SIM,Soldadura puntual,2023-03-15 11:37:00
Sony,Xperia 10,Se calienta,Soldadura puntual,2023-05-14 11:43:00
Sony,Xperia 5,WiFi no funciona,Actualización de software,2024-11-23 06:39:00
Samsung,S22,Batería no carga,Actualización de software,2023-03-23 06:29:00
Xiaomi,Redmi 10,WiFi no funciona,Reparación de placa,2024-10-10 16:57:00
Apple,iPhone 14,No enciende,Reparación de placa,2024-03-06 20:13:00
Sony,Xperia L3,Sonido bajo,Cambio de pantalla,2024-02-12 05:20:00
Sony,Xperia 1,No reconoce SIM,Cambio de pantalla,2023-04-09 21:13:00
Oppo,Reno 6,Batería no carga,Revisión completa,2023-03-04 02:02:00
Apple,iPhone X,Se calienta,Cambio de batería,2024-05-27 09:27:00
Xiaomi,Mi 10,No enciende,Cambio de pantalla,2023-07-20 02:22:00
Apple,iPhone X,WiFi no funciona,Cambio de pantalla,2023-10-12 13:18:00
Motorola,Moto G8,Pantalla rota,Soldadura puntual,2023-10-11 01:58:00
Sony,Xperia L3,Batería no carga,Cambio de pantalla,2023-06-24 08:51:00
Nokia,5.3,Cámara falla,Revisión completa,2023-06-21 02:45:00
Oppo,Reno 5,Sonido bajo,Soldadura puntual,2024-03-07 19:03:00
Xiaomi,Redmi 10,Cámara falla,Actualización de software,2023-08-27 18:01:00
Samsung,A30,Se calienta,Cambio de pantalla,2023-10-12 10:32:00
Huawei,P40,Se calienta,Cambio de pantalla,2023-05-22 20:00:00
Oppo,Reno 5,Cámara falla,Actualización de software,2023-12-12 10:22:00
Samsung,A10,No vibra,Reparación de placa,2024-05-31 10:29:00
Xiaomi,Poco M4,No vibra,Limpieza de puerto,2024-08-25 00:03:00
Huawei,P40,No reconoce SIM,Soldadura puntual,2024-06-12 18:12:00
Apple,iPhone 13,No vibra,Cambio de pantalla,2023-03-17 05:01:00
Xiaomi,Poco X3,No reconoce SIM,Reparación de placa,2023-12-06 17:59:00
Apple,iPhone 11,Sonido bajo,Reparación de placa,2024-09-02 08:03:00
Sony,Xperia L3,Se reinicia solo,Reparación de placa,2024-02-21 02:47:00
Motorola,Moto G9,Pantalla rota,Reparación de placa,2023-09-24 05:04:00
Xiaomi,Mi 11,Batería no carga,Reemplazo de módulo,2023-09-19 18:36:00
Huawei,P40,Cámara falla,Actualización de software,2024-11-20 09:45:00
Apple,iPhone 8,No enciende,Cambio de batería,2024-01-13 19:04:00
Samsung,S21,Cámara falla,Cambio de batería,2024-08-04 03:50:00
Sony,Xperia 5,No enciende,Cambio de flex,2023-12-12 01:15:00
Samsung,S22,No enciende,Limpieza de puerto,2023-07-24 06:44:00
Samsung,J7,WiFi no funciona,Reemplazo de módulo,2024-07-21 00:13:00
Xiaomi,Redmi 9,Cámara falla,Limpieza de puerto,2023-04-11 20:50:00
Oppo,Reno 6,No reconoce SIM,Revisión completa,2023-09-14 09:44:00
Apple,iPhone 12,No enciende,Cambio de flex,2023-10-28 20:02:00
Samsung,S22,Batería no carga,Soldadura puntual,2024-03-10 20:50:00
Motorola,Moto G8,Sonido bajo,Limpieza de puerto,2023-07-17 12:21:00
Xiaomi,Poco M4,Batería no carga,Revisión completa,2023-06-21 20:41:00
Samsung,S21,Sonido bajo,Actualización de software,2023-07-11 04:07:00
Sony,Xperia 1,Batería no carga,Actualización de software,2024-10-22 07:26:00
Sony,Xperia 10,Sonido bajo,Reemplazo de módulo,2023-04-18 05:27:00
Nokia,7.2,Cámara falla,Cambio de flex,2023-06-03 11:28:00
Sony,Xperia L3,Sonido bajo,Soldadura puntual,2023-03-27 19:03:00
Xiaomi,Redmi 10,No reconoce SIM,Cambio de flex,2024-01-16 16:54:00
Sony,Xperia 1,Se reinicia solo,Reemplazo de módulo,2023-07-18 01:45:00
Sony,Xperia L3,Cámara falla,Reparación de placa,2023-03-31 10:38:00
Apple,iPhone X,Se reinicia solo,Cambio de pantalla,2023-11-15 16:59:00
Motorola,Moto E6,Batería no carga,Reparación de placa,2024-05-20 17:45:00
