Marca,Modelo,Fallo,Solucion,Fecha
Motorola,Moto E6,WiFi no funciona,Soldadura puntual,2023-03-28 15:31:00
Oppo,Reno 6,Se reinicia solo,Reemplazo de módulo,2023-11-14 03:25:00
Xiaomi,Poco M4,Sonido bajo,Cambio de batería,2024-03-01 19:20:00
Samsung,S21,Batería no carga,Reparación de placa,2024-09-19 00:43:00
Motorola,Moto E6,Se calienta,Cambio de pantalla,2024-05-26 09:04:00
Xiaomi,Redmi 10,Se reinicia solo,Reparación de placa,2023-10-25 10:30:00
Xiaomi,Poco M4,Sonido bajo,Soldadura puntual,2023-06-14 09:43:00
Sony,Xperia 5,Se calienta,Soldadura puntual,2023-09-05 03:22:00
Apple,iPhone 12,Sonido bajo,Revisión completa,2023-04-30 22:03:00
Xiaomi,Mi 10,Se reinicia solo,Soldadura puntual,2023-02-03 06:55:00
Oppo,A57,Pantalla rota,Reparación de placa,2024-04-08 16:45:00
Xiaomi,Mi 11,No enciende,Reparación de placa,2023-06-20 05:44:00
Huawei,Y9,Sonido bajo,Soldadura puntual,2024-01-07 18:36:00
Sony,Xperia 5,Batería no carga,Reparación de placa,2023-04-11 16:42:00
Huawei,P20,No reconoce SIM,Soldadura puntual,2023-04-18 18:39:00
Huawei,P20,Se calienta,Soldadura puntual,2024-06-22 02:37:00
Oppo,Reno 5,Cámara falla,Soldadura puntual,2024-04-30 21:09:00
Samsung,S20,Cámara falla,Actualización de software,2024-07-11 00:58:00
Oppo,Reno 6,Batería no carga,Revisión completa,2024-06-24 14:38:00
Sony,Xperia L3,No reconoce SIM,Cambio de pantalla,2023-08-13 05:04:00
Nokia,6.1,No reconoce SIM,Actualización de software,2023-07-21 23:30:00
Oppo,Reno 5,No enciende,Reemplazo de módulo,2023-03-01 10:48:00
Xiaomi,Poco M4,WiFi no funciona,Revisión completa,2024-03-23 12:59:00
Sony,Xperia 1,WiFi no funciona,Revisión completa,2024-10-20 09:29:00
Nokia,6.1,Pantalla rota,Soldadura puntual,2024-08-30 11:36:00
Sony,Xperia 5,Batería no carga,Cambio de batería,2024-02-09 14:53:00
Samsung,A30,No reconoce SIM,Soldadura puntual,2023-01-21 03:21:00
Motorola,Moto G7,Se calienta,Actualización de software,2023-01-25 22:56:00
Huawei,P20,Batería no carga,Soldadura puntual,2024-02-05 18:29:00
Motorola,Moto G7,Sonido bajo,Reemplazo de módulo,2024-06-16 07:08:00
Nokia,3.2,WiFi no funciona,Cambio de pantalla,2023-06-24 23:57:00
Samsung,J7,Cámara falla,Soldadura puntual,2024-10-09 06:33:00
Motorola,Moto G30,No enciende,Cambio de batería,2023-12-28 14:05:00
Nokia,3.2,Pantalla rota,Revisión completa,2023-11-07 07:18:00
Oppo,Reno 6,Batería no carga,Cambio de flex,2023-05-15 02:25:00
Motorola,Moto G8,No vibra,Actualización de software,2023-01-16 23:37:00
Oppo,Reno 5,Batería no carga,Cambio de pantalla,2023-09-22 15:21:00
Sony,Xperia L3,Pantalla rota,Cambio de flex,2024-06-29 20:57:00
Apple,iPhone 8,Se reinicia solo,Cambio de pantalla,2023-01-24 12:49:00
Huawei,P20,Pantalla rota,Actualización de software,2024-08-18 09:39:00
Motorola,Moto G9,WiFi no funciona,Cambio de pantalla,2023-11-28 16:41:00
Oppo,Reno 6,Batería no carga,Reparación de placa,2023-01-03 16:33:00
Huawei,P30,Batería no carga,Actualización de software,2024-04-03 01:58:00
Samsung,A10,WiFi no funciona,Reparación de placa,2024-07-22 13:02:00
Samsung,S20,Cámara falla,Cambio de pantalla,2023-01-29 02:52:00
Nokia,2.1,No reconoce SIM,Soldadura puntual,2023-03-22 11:49:00
Xiaomi,Poco X3,Sonido bajo,Cambio de batería,2023-10-01 09:48:00
Xiaomi,Poco M4,WiFi no funciona,Revisión completa,2023-07-20 11:40:00
Xiaomi,Redmi 10,Cámara falla,Cambio de pantalla,2024-01-06 17:57:00
Motorola,Moto G30,Se calienta,Cambio de batería,2024-08-10 09:55:00
Oppo,Reno 6,Se reinicia solo,Soldadura puntual,2023-07-02 08:53:00
Samsung,J7,No vibra,Reparación de placa,2024-06-10 10:45:00
Sony,Xperia 10,Cámara falla,Actualización de software,2023-05-09 17:19:00
Huawei,Y9,Se reinicia solo,Reparación de placa,2023-05-08 23:10:00
Xiaomi,Mi 11,No reconoce SIM,Reparación de placa,2023-12-23 05:15:00
Huawei,Y7,Batería no carga,Actualización de software,2024-11-24 18:17:00
Huawei,Y9,Batería no carga,Reparación de placa,2023-12-06 15:38:00
Nokia,7.2,WiFi no funciona,Soldadura puntual,2024-06-13 22:14:00
Huawei,Y7,No vibra,Cambio de pantalla,2023-10-01 06:44:00
Nokia,6.1,Pantalla rota,Revisión completa,2023-01-09 07:49:00
Apple,iPhone 14,Se calienta,Revisión completa,2024-03-14 10:24:00
Nokia,6.1,Pantalla rota,Actualización de software,2024-01-31 12:39:00
Sony,Xperia 5,No vibra,Limpieza de puerto,2024-04-18 17:49:00
Sony,Xperia 5,No enciende,Cambio de pantalla,2024-09-20 07:42:00
Apple,iPhone X,Se calienta,Reemplazo de módulo,2024-01-09 02:48:00
Xiaomi,Poco X3,Batería no carga,Soldadura puntual,2024-10-31 04:43:00
Motorola,Moto E6,Sonido bajo,Soldadura puntual,2023-10-15 11:50:00
Sony,Xperia L3,Sonido bajo,Limpieza de puerto,2023-05-16 14:38:00
Sony,Xperia 5,No enciende,Cambio de flex,2023-03-28 19:44:00
Nokia,6.1,Sonido bajo,Cambio de batería,2023-08-13 13:53:00
Sony,Xperia 10,Sonido bajo,Revisión completa,2023-02-28 09:22:00
Motorola,Moto G7,No reconoce SIM,Actualización de software,2024-06-04 00:09:00
Xiaomi,Poco X3,Cámara falla,Reemplazo de módulo,2024-08-25 15:53:00
Apple,iPhone 8,Pantalla rota,Reparación de placa,2024-05-20 09:53:00
Samsung,A30,Sonido bajo,Reemplazo de módulo,2023-02-01 14:03:00
Oppo,A54,Se reinicia solo,Soldadura puntual,2023-10-18 18:50:00
Sony,Xperia 1,Cámara falla,Actualización de software,2024-11-30 13:49:00
Nokia,2.1,Sonido bajo,Reparación de placa,2024-03-06 16:10:00
Huawei,P40,Se reinicia solo,Limpieza de puerto,2024-06-25 00:16:00
Xiaomi,Poco M4,WiFi no funciona,Limpieza de puerto,2023-11-26 02:39:00
Motorola,Moto E6,Sonido bajo,Reparación de placa,2024-03-15 06:54:00
Sony,Xperia 5,Batería no carga,Revisión completa,2023-02-03 12:57:00
Sony,Xperia 5,Se reinicia solo,Revisión completa,2024-06-13 12:52:00
Sony,Xperia 5,Pantalla rota,Reparación de placa,2024-03-11 13:54:00
Sony,Xperia 10,Cámara falla,Revisión completa,2023-02-22 03:45:00
Huawei,P20,No reconoce SIM,Reparación de placa,2023-08-17 23:22:00
Apple,iPhone X,No vibra,Limpieza de puerto,2024-02-03 21:29:00
Apple,iPhone X,No vibra,Reemplazo de módulo,2024-08-04 02:29:00
Xiaomi,Mi 11,No reconoce SIM,Reemplazo de módulo,2024-10-07 07:32:00
Huawei,P40,Batería no carga,Actualización de software,2023-04-20 04:00:00
Huawei,Y7,Se calienta,Cambio de flex,2023-12-15 18:35:00
Huawei,P20,Se reinicia solo,Cambio de pantalla,2023-03-11 14:26:00
Apple,iPhone 8,WiFi no funciona,Actualización de software,2024-05-26 08:10:00
Nokia,3.2,No enciende,Soldadura puntual,2024-06-01 16:18:00
Samsung,A30,No enciende,Cambio de pantalla,2023-11-19 02:07:00
Motorola,Moto G8,Se calienta,Cambio de batería,2023-12-28 20:03:00
Samsung,A20,Cámara falla,Reparación de placa,2023-09-12 21:33:00
Motorola,Moto G9,No vibra,Revisión completa,2023-01-23 00:03:00
Nokia,2.1,Batería no carga,Revisión completa,2023-08-20 07:31:00
Apple,iPhone 13,No vibra,Cambio de batería,2023-02-28 00:39:00
Motorola,Moto G7,No enciende,Revisión completa,2023-12-29 00:36:00
Samsung,A10,Batería no carga,Actualización de software,2023-04-02 00:53:00
Motorola,Moto G9,Batería no carga,Soldadura puntual,2024-09-21 01:09:00
Xiaomi,Poco X3,No reconoce SIM,Reparación de placa,2023-09-02 05:58:00
Samsung,A10,No reconoce SIM,Cambio de batería,2024-01-05 22:05:00
Huawei,P20,No vibra,Reemplazo de módulo,2024-04-16 08:13:00
Samsung,S20,Cámara falla,Cambio de batería,2024-10-07 19:21:00
Oppo,Reno 5,Se reinicia solo,Soldadura puntual,2024-02-21 15:51:00
Samsung,A20,Se reinicia solo,Actualización de software,2024-02-26 23:55:00
Nokia,5.3,Cámara falla,Actualización de software,2024-02-05 22:48:00
Oppo,A54,Cámara falla,Reparación de placa,2023-07-24 12:08:00
Sony,Xperia 10,Sonido bajo,Cambio de batería,2023-11-03 14:30:00
Nokia,7.2,Batería no carga,Cambio de pantalla,2024-07-17 17:37:00
Motorola,Moto G8,Batería no carga,Revisión completa,2024-11-27 17:15:00
Sony,Xperia 5,No reconoce SIM,Soldadura puntual,2024-02-12 09:49:00
Apple,iPhone 13,Pantalla rota,Actualización de software,2023-05-22 19:43:00
Nokia,5.3,No enciende,Actualización de software,2023-06-06 07:28:00
Nokia,7.2,WiFi no funciona,Revisión completa,2024-01-24 01:33:00
Oppo,A54,Cámara falla,Actualización de software,2024-09-07 08:43:00
Apple,iPhone 13,Sonido bajo,Actualización de software,2024-08-14 15:27:00
Sony,Xperia 5,Cámara falla,Revisión completa,2024-03-26 17:58:00
Samsung,J7,No vibra,Cambio de flex,2023-01-12 20:52:00
Sony,Xperia 5,No enciende,Reemplazo de módulo,2024-06-10 11:16:00
Samsung,S20,Sonido bajo,Reemplazo de módulo,2023-01-26 23:51:00
Motorola,Moto G8,Se reinicia solo,Cambio de pantalla,2023-09-27 02:14:00
Xiaomi,Mi 11,Pantalla rota,Cambio de pantalla,2024-09-12 19:16:00
Samsung,A10,Cámara falla,Reparación de placa,2024-02-06 20:00:00
Xiaomi,Poco X3,Se reinicia solo,Actualización de software,2024-09-15 14:02:00
Samsung,A20,No enciende,Limpieza de puerto,2024-11-01 01:00:00
Apple,iPhone 8,No reconoce SIM,Revisión completa,2024-03-11 09:47:00
Apple,iPhone 12,Se calienta,Soldadura puntual,2024-09-18 04:23:00
Sony,Xperia L3,No vibra,Soldadura puntual,2023-12-16 22:03:00
Samsung,A10,Se reinicia solo,Reemplazo de módulo,2023-10-15 19:17:00
Nokia,6.1,Batería no carga,Revisión completa,2024-02-01 17:49:00
Nokia,6.1,Se reinicia solo,Cambio de batería,2023-04-16 03:52:00
Xiaomi,Poco M4,WiFi no funciona,Actualización de software,2023-04-24 02:19:00
Huawei,P30,No vibra,Reemplazo de módulo,2024-11-29 03:28:00
Sony,Xperia L3,Se reinicia solo,Reparación de placa,2023-08-26 07:13:00
Huawei,P20,No enciende,Limpieza de puerto,2023-01-03 22:15:00
Samsung,A20,No enciende,Reemplazo de módulo,2023-11-29 18:54:00
Sony,Xperia 10,Se reinicia solo,Cambio de batería,2024-11-10 01:34:00
Xiaomi,Mi 11,Batería no carga,Cambio de pantalla,2023-12-18 19:05:00
Motorola,Moto G7,Sonido bajo,Soldadura puntual,2023-05-07 03:18:00
Oppo,A15,Batería no carga,Cambio de pantalla,2024-09-23 13:27:00
Samsung,S21,WiFi no funciona,Reparación de placa,2023-09-06 20:10:00
Apple,iPhone 13,Se reinicia solo,Cambio de batería,2023-02-07 14:21:00
Huawei,P40,Pantalla rota,Cambio de batería,2023-02-07 23:51:00
Motorola,Moto G7,Cámara falla,Reparación de placa,2024-07-20 04:03:00
Motorola,Moto E6,No reconoce SIM,Cambio de flex,2024-03-13 03:44:00
Sony,Xperia L3,No vibra,Limpieza de puerto,2024-06-25 09:10:00
Sony,Xperia 1,Se reinicia solo,Revisión completa,2023-04-14 00:50:00
Motorola,Moto G7,Batería no carga,Cambio de batería,2023-12-14 02:08:00
Oppo,A54,Se reinicia solo,Soldadura puntual,2023-09-23 10:55:00
Nokia,2.1,Sonido bajo,Reemplazo de módulo,2024-02-09 03:40:00
Oppo,Reno 6,Cámara falla,Cambio de batería,2023-10-22 13:20:00
Apple,iPhone 14,Cámara falla,Cambio de batería,2024-09-18 23:44:00
Sony,Xperia 1,Pantalla rota,Reemplazo de módulo,2023-01-28 05:23:00
Sony,Xperia 1,Se reinicia solo,Cambio de batería,2024-08-10 01:50:00
Sony,Xperia L3,Se calienta,Reemplazo de módulo,2024-12-01 08:29:00
Sony,Xperia 5,Pantalla rota,Revisión completa,2024-10-23 02:15:00
Motorola,Moto E6,No reconoce SIM,Cambio de batería,2024-03-18 22:19:00
Samsung,M12,No reconoce SIM,Limpieza de puerto,2023-02-08 23:52:00
Motorola,Moto G7,Sonido bajo,Cambio de pantalla,2023-12-23 01:23:00
Oppo,A15,Se reinicia solo,Reemplazo de módulo,2024-08-16 23:54:00
Huawei,P20,No vibra,Cambio de pantalla,2023-01-21 16:16:00
Nokia,7.2,Sonido bajo,Limpieza de puerto,2023-07-16 08:34:00
Oppo,A15,Pantalla rota,Soldadura puntual,2024-01-25 19:50:00
Nokia,3.2,Sonido bajo,Reparación de placa,2023-09-09 17:02:00
Oppo,Reno 5,WiFi no funciona,Soldadura puntual,2024-02-01 14:32:00
Apple,iPhone 11,No vibra,Limpieza de puerto,2024-03-05 15:07:00
Oppo,A57,Se calienta,Soldadura puntual,2024-11-11 12:04:00
Motorola,Moto E6,No enciende,Limpieza de puerto,2023-02-04 07:55:00
Xiaomi,Redmi 9,Batería no carga,Revisión completa,2023-06-16 02:29:00
Xiaomi,Redmi 9,Se calienta,Limpieza de puerto,2024-03-07 21:51:00
Samsung,S21,Se reinicia solo,Cambio de flex,2023-01-18 14:05:00
Xiaomi,Redmi 9,Se calienta,Cambio de pantalla,2024-09-29 07:09:00
Xiaomi,Mi 10,Sonido bajo,Reemplazo de módulo,2024-06-20 15:06:00
Xiaomi,Poco M4,Sonido bajo,Reemplazo de módulo,2024-08-29 01:20:00
Oppo,A15,Pantalla rota,Soldadura puntual,2023-08-18 09:02:00
Motorola,Moto G8,No enciende,Cambio de flex,2024-07-26 03:09:00
Apple,iPhone X,No enciende,Cambio de flex,2023-10-16 03:26:00
Oppo,Reno 5,No enciende,Cambio de flex,2023-08-29 17:53:00
Motorola,Moto G30,Se reinicia solo,Actualización de software,2024-03-04 01:52:00
Nokia,6.1,Se reinicia solo,Reparación de placa,2024-10-21 16:16:00
Motorola,Moto G7,Se calienta,Soldadura puntual,2023-07-17 03:04:00
Motorola,Moto G7,No reconoce SIM,Cambio de batería,2024-05-28 08:47:00
Apple,iPhone 12,Pantalla rota,Limpieza de puerto,2023-12-28 03:32:00
Samsung,S20,Se calienta,Cambio de flex,2024-01-03 07:25:00
Motorola,Moto G7,Cámara falla,Cambio de pantalla,2023-04-01 06:36:00
Sony,Xperia 5,Se calienta,Reemplazo de módulo,2023-01-31 22:17:00
Apple,iPhone 11,Pantalla rota,Soldadura puntual,2023-01-02 11:45:00
Oppo,A57,No vibra,Reparación de placa,2024-08-18 10:06:00
Huawei,Y9,Se reinicia solo,Cambio de flex,2023-04-02 07:14:00
Nokia,5.3,No vibra,Reemplazo de módulo,2023-12-16 23:41:00
Samsung,S21,Cámara falla,Actualización de software,2023-05-11 10:35:00
Xiaomi,Mi 10,Pantalla rota,Actualización de software,2023-03-08 02:25:00
Motorola,Moto G7,No vibra,Reemplazo de módulo,2024-01-20 22:02:00
Xiaomi,Poco X3,No reconoce SIM,Revisión completa,2024-03-29 22:54:00
Motorola,Moto G30,Batería no carga,Cambio de flex,2024-03-01 00:51:00
Huawei,P20,No reconoce SIM,Reparación de placa,2023-09-17 21:57:00
Motorola,Moto G30,Se reinicia solo,Limpieza de puerto,2023-04-17 02:57:00
Samsung,A20,Cámara falla,Cambio de flex,2023-12-18 14:31:00
Apple,iPhone 13,No enciende,Revisión completa,2023-12-01 10:57:00
Huawei,Y9,Se calienta,Revisión completa,2023-10-03 05:45:00
Oppo,A54,Batería no carga,Reparación de placa,2024-06-10 20:07:00
Oppo,A54,Pantalla rota,Cambio de batería,2024-01-07 22:53:00
Nokia,3.2,Se calienta,Reemplazo de módulo,2023-12-24 13:20:00
Motorola,Moto G30,No enciende,Cambio de pantalla,2023-06-23 05:29:00
Samsung,A30,Se reinicia solo,Soldadura puntual,2023-06-08 18:18:00
Sony,Xperia L3,Cámara falla,Actualización de software,2024-01-16 14:50:00
Xiaomi,Redmi 9,Se reinicia solo,Actualización de software,2023-11-02 03:36:00
Motorola,Moto G30,Batería no carga,Cambio de batería,2023-08-11 13:37:00
Oppo,Reno 6,Se calienta,Reparación de placa,2024-10-07 04:41:00
Nokia,5.3,WiFi no funciona,Cambio de pantalla,2024-03-17 19:18:00
Xiaomi,Redmi 10,Se reinicia solo,Cambio de flex,2023-08-12 09:47:00
Samsung,S21,Sonido bajo,Reemplazo de módulo,2024-04-03 10:14:00
Xiaomi,Mi 11,Sonido bajo,Actualización de software,2024-10-26 22:20:00
Oppo,A15,WiFi no funciona,Soldadura puntual,2023-05-08 23:51:00
Samsung,S21,No reconoce SIM,Reemplazo de módulo,2024-04-29 11:45:00
Xiaomi,Mi 10,No enciende,Reemplazo de módulo,2023-04-04 11:09:00
Sony,Xperia 5,Sonido bajo,Cambio de pantalla,2023-01-03 23:22:00
Oppo,A54,Cámara falla,Limpieza de puerto,2024-02-01 05:39:00
Oppo,Reno 6,Se calienta,Soldadura puntual,2023-10-06 04:04:00
Xiaomi,Poco X3,No vibra,Limpieza de puerto,2024-03-04 13:29:00
Sony,Xperia L3,Pantalla rota,Soldadura puntual,2024-03-08 20:18:00
Xiaomi,Redmi 9,Batería no carga,Revisión completa,2023-02-23 16:40:00
Sony,Xperia 1,No vibra,Actualización de software,2024-03-30 01:50:00
Huawei,P40,Se reinicia solo,Reemplazo de módulo,2023-06-18 13:54:00
Huawei,P30,Pantalla rota,Cambio de pantalla,2023-05-16 04:27:00
Huawei,Y7,Batería no carga,Revisión completa,2023-09-09 10:58:00
Sony,Xperia 1,Se calienta,Soldadura puntual,2024-02-14 21:50:00
Xiaomi,Redmi 9,Sonido bajo,Limpieza de puerto,2024-11-22 01:15:00
Sony,Xperia 1,Se calienta,Reparación de placa,2024-11-10 21:52:00
Sony,Xperia 10,No vibra,Limpieza de puerto,2024-11-17 21:34:00
Xiaomi,Poco X3,Cámara falla,Cambio de pantalla,2024-07-19 02:52:00
Motorola,Moto G9,Cámara falla,Cambio de pantalla,2023-04-20 14:08:00
Sony,Xperia L3,WiFi no funciona,Limpieza de puerto,2023-05-29 14:23:00
Motorola,Moto G8,Se calienta,Revisión completa,2024-09-11 07:53:00
Samsung,S20,Pantalla rota,Revisión completa,2024-01-07 03:39:00
Sony,Xperia 10,WiFi no funciona,Limpieza de puerto,2024-07-25 19:38:00
Sony,Xperia 1,Pantalla rota,Cambio de batería,2024-07-16 20:41:00
Huawei,Y7,Batería no carga,Revisión completa,2023-05-06 01:31:00
Motorola,Moto G30,No enciende,Reparación de placa,2024-03-05 10:22:00
Apple,iPhone 12,No enciende,Actualización de software,2023-07-11 00:19:00
Nokia,7.2,WiFi no funciona,Reemplazo de módulo,2023-01-23 01:26:00
Motorola,Moto G7,Cámara falla,Revisión completa,2024-06-15 01:32:00
Xiaomi,Mi 10,Pantalla rota,Revisión completa,2023-05-17 12:25:00
Oppo,A57,No vibra,Soldadura puntual,2024-09-20 19:07:00
Xiaomi,Mi 10,Batería no carga,Limpieza de puerto,2024-04-27 00:31:00
Huawei,P20,No vibra,Cambio de batería,2023-12-04 10:46:00
Motorola,Moto E6,No vibra,Soldadura puntual,2024-09-21 04:45:00
Nokia,3.2,Batería no carga,Soldadura puntual,2023-11-26 10:50:00
Xiaomi,Redmi 9,WiFi no funciona,Cambio de pantalla,2024-03-13 09:38:00
Xiaomi,Redmi 9,No reconoce SIM,Cambio de batería,2023-10-13 01:58:00
